Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2017-10-01,1,1,0,1,1,1,0,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.28s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-02,7,7,0,9,3,6,36,0,0,0,0%,0,0,0,0%,8,8,0,0,1,1,0,0,8,0.6s,86%,1.3,00:00:05,00:00:12,1.7,67%,3,5,3,0,3,0,0,0,0%
2017-10-03,5,5,0,8,4,4,176,0,0,0,0%,0,0,0,0%,8,7,0,0,0,0,0,0,8,0.2s,80%,1.6,00:00:35,00:00:00,0,0%,,,,,,,,,
2017-10-04,6,7,0,10,3,5,25,0,0,0,0%,0,0,0,0%,10,9,0,0,0,0,0,0,10,0.26s,71%,1.4,00:00:04,00:00:00,0,0%,,,,,,,,,
2017-10-05,4,4,0,7,4,3,48,0,0,0,0%,0,0,0,0%,7,6,0,0,0,0,0,0,7,0.16s,75%,1.8,00:00:12,00:00:24,2.5,50%,2,5,2,0,4,0,0,0,0%
2017-10-06,4,5,0,13,5,2,268,0,0,0,0%,0,0,0,0%,12,8,0,0,1,1,0,0,12,0.3s,40%,2.6,00:00:54,00:01:28,3,0%,2,6,2,0,4,0,0,0,0%
2017-10-07,5,5,0,14,8,3,1418,0,0,0,0%,0,0,0,0%,14,9,0,0,0,0,0,0,14,0.25s,60%,2.8,00:04:44,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-08,5,5,0,6,2,4,9,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,4,0.43s,80%,1.2,00:00:02,00:00:00,0,0%,,,,,,,,,
2017-10-09,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,2,0.31s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2017-10-10,5,6,0,17,11,4,447,0,0,0,0%,0,0,0,0%,16,11,0,0,1,1,0,0,16,0.14s,67%,2.8,00:01:15,00:03:38,6,50%,2,12,2,0,11,0,0,0,0%
2017-10-11,3,3,0,5,2,1,37,0,0,0,0%,0,0,0,0%,5,4,0,0,0,0,0,0,5,0.23s,33%,1.7,00:00:12,00:00:00,0,0%,,,,,,,,,
2017-10-12,11,12,0,27,9,8,4058,0,0,0,0%,0,0,0,0%,24,19,0,0,3,3,0,0,21,1.73s,67%,2.3,00:05:38,00:00:00,1,100%,2,2,2,0,1,0,0,0,0%
2017-10-13,10,17,0,37,8,10,4986,0,0,0,0%,0,0,0,0%,36,31,0,0,1,1,0,0,34,0.67s,59%,2.2,00:04:53,00:14:13,2.6,40%,5,13,3,0,5,0,0,0,0%
2017-10-14,6,6,0,37,27,3,173,0,0,0,0%,0,0,0,0%,32,13,0,0,5,4,0,0,31,0.26s,50%,6.2,00:00:29,00:00:08,2,0%,1,2,1,0,2,0,0,0,0%
2017-10-15,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.18s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-16,7,7,0,9,3,6,35,0,0,0,0%,0,0,0,0%,9,8,0,0,0,0,0,0,9,0.37s,86%,1.3,00:00:05,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-17,11,14,0,19,3,10,663,0,0,0,0%,0,0,0,0%,18,17,0,0,1,1,0,0,17,0.35s,71%,1.4,00:00:47,00:00:02,1.3,75%,4,5,2,0,2,0,0,0,0%
2017-10-18,9,11,0,24,5,4,1472,0,0,0,0%,0,0,0,0%,23,17,0,0,1,1,0,0,22,0.68s,36%,2.2,00:02:14,00:00:12,1.7,67%,3,5,2,0,3,0,0,0,0%
2017-10-20,5,6,0,11,5,4,37,0,0,0,0%,0,0,0,0%,11,10,0,0,0,0,0,0,10,0.11s,67%,1.8,00:00:06,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-21,1,2,0,3,2,1,109,0,0,0,0%,0,0,0,0%,3,2,0,0,0,0,0,0,3,0.29s,50%,1.5,00:00:55,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-22,1,1,0,1,1,1,0,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.35s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-23,7,7,0,24,5,2,475,0,0,0,0%,0,0,0,0%,22,16,0,0,2,2,0,0,20,0.38s,29%,3.4,00:01:08,00:00:28,4.3,0%,3,13,3,0,5,0,0,0,0%
2017-10-24,5,5,0,7,2,3,1120,0,0,0,0%,0,0,0,0%,7,7,0,0,0,0,0,0,7,0.23s,60%,1.4,00:03:44,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-25,3,3,0,6,3,1,217,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,6,0.41s,33%,2,00:01:12,00:00:00,0,0%,,,,,,,,,
2017-10-26,5,6,0,10,5,5,1380,0,0,0,0%,0,0,0,0%,10,8,0,0,0,0,0,0,9,0.38s,83%,1.7,00:03:50,00:07:40,2.3,67%,3,7,2,0,5,0,0,0,0%
2017-10-27,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.17s,100%,1,00:00:00,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-28,3,4,0,5,2,3,36,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.22s,75%,1.3,00:00:09,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-10-29,3,3,0,5,3,2,5,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.16s,67%,1.7,00:00:02,00:00:00,0,0%,,,,,,,,,
2017-10-30,1,1,0,24,24,0,3180,0,0,0,0%,0,0,0,0%,22,4,0,0,2,2,0,0,22,0.04s,0%,24,00:53:00,00:00:00,0,0%,,,,,,,,,
2017-11-01,1,1,0,7,7,0,20,0,0,0,0%,,,,,4,2,0,0,3,3,0,0,4,0.09s,0%,7,00:00:20,00:00:20,7,0%,1,7,1,0,7,0,0,0,0%
2017-11-02,1,1,0,5,5,0,51,0,0,0,0%,,,,,5,2,0,0,0,0,0,0,1,0.32s,0%,5,00:00:51,00:00:51,5,0%,1,5,1,0,5,0,0,0,0%
2017-11-03,8,8,0,31,9,2,3606,0,0,0,0%,0,0,0,0%,26,12,0,0,5,4,0,0,25,0.1s,25%,3.9,00:07:31,00:08:13,3.8,0%,4,15,4,0,5,0,0,0,0%
2017-11-04,3,3,0,4,2,2,10,0,0,0,0%,0,0,0,0%,3,3,0,0,1,1,0,0,3,0.28s,67%,1.3,00:00:03,00:00:00,0,0%,,,,,,,,,
2017-11-05,4,4,0,11,6,2,158,0,0,0,0%,0,0,0,0%,8,6,0,0,3,3,0,0,8,0.31s,50%,2.8,00:00:40,00:00:00,1,100%,1,1,1,0,1,0,0,0,0%
2017-11-06,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.07s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2017-11-07,6,6,0,8,2,4,11,0,0,0,0%,0,0,0,0%,6,6,0,0,2,2,0,0,6,0.25s,67%,1.3,00:00:02,00:00:03,1.5,50%,2,3,2,0,2,0,0,0,0%
2017-11-08,9,9,0,26,11,4,444,0,0,0,0%,0,0,0,0%,14,11,0,0,12,4,0,0,13,0.3s,44%,2.9,00:00:49,00:01:28,2.7,33%,3,8,3,0,4,0,0,0,0%
2017-11-09,1,2,0,6,4,0,33,0,0,0,0%,,,,,3,2,0,0,3,3,0,0,3,0.03s,0%,3,00:00:17,00:00:17,3,0%,2,6,1,0,4,0,0,0,0%
2017-11-10,2,2,0,6,5,1,9,0,0,0,0%,0,0,0,0%,4,3,0,0,2,2,0,0,4,0.2s,50%,3,00:00:05,00:00:09,5,0%,1,5,1,0,5,0,0,0,0%
2017-11-11,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,2,0.29s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2017-11-12,2,2,0,10,7,0,281,0,0,0,0%,0,0,0,0%,5,3,0,0,5,5,0,0,5,0.19s,0%,5,00:02:21,00:02:12,7,0%,1,7,1,0,7,0,0,0,0%
2017-11-13,3,3,0,4,2,2,17,0,0,0,0%,0,0,0,0%,4,3,0,0,0,0,0,0,4,0.21s,67%,1.3,00:00:06,00:00:00,1,100%,2,2,2,0,1,0,0,0,0%
2017-11-14,6,6,0,12,4,3,47,0,0,0,0%,0,0,0,0%,8,8,0,0,4,4,0,0,7,0.83s,50%,2,00:00:08,00:00:13,2.3,33%,3,7,3,0,4,0,0,0,0%
2017-11-15,6,6,0,21,9,0,1796,0,0,0,0%,0,0,0,0%,19,10,0,0,2,1,0,0,18,0.15s,0%,3.5,00:04:59,00:06:25,9,0%,1,9,1,0,9,0,0,0,0%
2017-11-16,2,3,0,11,7,0,308,0,0,0,0%,0,0,0,0%,8,5,0,0,3,3,0,0,8,0.09s,0%,3.7,00:01:43,00:00:07,2,0%,2,4,1,0,2,0,0,0,0%
2017-11-17,4,4,0,7,4,3,16,0,0,0,0%,0,0,0,0%,7,5,0,0,0,0,0,0,6,0.09s,75%,1.8,00:00:04,00:00:00,0,0%,,,,,,,,,
2017-11-18,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.03s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2017-11-19,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.33s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2017-11-20,5,5,0,18,11,2,551,0,0,0,0%,0,0,0,0%,17,10,0,0,1,1,0,0,17,0.24s,40%,3.6,00:01:50,00:00:00,0,0%,,,,,,,,,
2017-11-21,4,5,0,9,4,3,29,0,0,0,0%,0,0,0,0%,7,6,0,0,2,2,0,0,7,0.62s,60%,1.8,00:00:06,00:00:10,2.3,33%,3,7,2,0,4,0,0,0,0%
2017-11-22,2,2,0,6,4,0,1838,0,0,0,0%,0,0,0,0%,5,3,0,0,1,1,0,0,5,0.09s,0%,3,00:15:19,00:00:00,0,0%,,,,,,,,,
2017-11-23,2,2,0,3,2,1,13,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.24s,50%,1.5,00:00:07,00:00:00,0,0%,,,,,,,,,
2017-11-24,3,3,0,9,7,2,320,0,0,0,0%,0,0,0,0%,8,4,0,0,1,1,0,0,6,0.32s,67%,3,00:01:47,00:00:00,0,0%,,,,,,,,,
2017-11-25,3,3,0,6,4,2,38,0,0,0,0%,0,0,0,0%,4,3,0,0,2,2,0,0,3,0.2s,67%,2,00:00:13,00:00:00,0,0%,,,,,,,,,
2017-11-26,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,0.13s,100%,1,00:00:00,00:00:00,0,0%,,,,,,,,,
2017-11-27,4,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,3,0.08s,100%,1,00:00:00,00:00:00,1,100%,2,2,2,0,1,0,0,0,0%
2017-11-28,2,2,0,7,5,0,60,0,0,0,0%,0,0,0,0%,5,3,0,0,2,2,0,0,4,0.37s,0%,3.5,00:00:30,00:00:00,0,0%,,,,,,,,,
2017-11-29,2,2,0,5,4,1,25,0,0,0,0%,,,,,4,4,0,0,1,1,0,0,4,0.27s,50%,2.5,00:00:13,00:00:13,2.5,50%,2,5,2,0,4,0,0,0,0%
2017-11-30,1,1,0,2,2,0,22,0,0,0,0%,0,0,0,0%,2,1,0,0,0,0,0,0,2,1.64s,0%,2,00:00:22,00:00:00,0,0%,,,,,,,,,
